"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
152101,"kogan","KALED65U92TB","China",163.829,"LCD (LED)",101.3,"Available",5.5,64.4994773,"65"
152101,"kogan","KALED65U92TC","China",163.829,"LCD (LED)",101.3,"Available",5.5,64.4994773,"65"
152101,"kogan","KALED65U92TD","China",163.829,"LCD (LED)",101.3,"Available",5.5,64.4994773,"65"
152101,"kogan","KALED65U92TE","China",163.829,"LCD (LED)",101.3,"Available",5.5,64.4994773,"65"
152104,"LG","65QNED86SRA","Indonesia,South Korea",163.897,"LCD (LED)",125,"Available",5,64.5262489,"65"
152105,"LG","65QNED866RA","Indonesia,South Korea",163.897,"LCD (LED)",125,"Available",5,64.5262489,"65"
152106,"LG","75QNED86SRA","Indonesia,South Korea",189.275,"LCD (LED)",150,"Available",5,74.5175675,"75"
152107,"LG","75QNED866RA","Indonesia,South Korea",189.275,"LCD (LED)",150,"Available",5,74.5175675,"75"
152108,"LG","86QNED86SRA","Indonesia,South Korea",217.425,"LCD (LED)",206,"Available",5,85.6002225,"85"
152109,"LG","86QNED866RA","Indonesia,South Korea",217.425,"LCD (LED)",206,"Available",5,85.6002225,"85"
152138,"Blaupunkt","BP650USG9800","China",163.896,"LCD",143.934,"Available",4,64.5258552,"65"
152157,"SONY","KD-55X77L","Vietnam",138.798,"LCD (LED)",129.1,"Available",3.5,54.6447726,"55"
152158,"SONY","KD-65X77L","Vietnam",163.878,"LCD (LED)",143.6,"Available",4,64.51876859999999,"65"
152167,"SONY","KD-75X85L","Malaysia",189.306,"LCD (LED)",181.1,"Available",4.5,74.5297722,"75"
152176,"LG","43UR81006LJ","Indonesia,South Korea",107.987,"LCD (LED)",73,"Available",4,42.5144819,"45"
152177,"LG","50UR81006LJ","Indonesia,South Korea",125.727,"LCD (LED)",78,"Available",4.5,49.4987199,"50"
152178,"LG","55UR81006LJ","Indonesia,South Korea",138.783,"LCD (LED)",97,"Available",4.5,54.63886709999999,"55"
152179,"LG","65UR81006LJ","Indonesia,South Korea",163.897,"LCD (LED)",127,"Available",4.5,64.5262489,"65"
152180,"LG","75UR80006LJ","Indonesia,South Korea",189.275,"LCD (LED)",165,"Available",5,74.5175675,"75"
152181,"LG","75UR81006LJ","Indonesia,South Korea",189.275,"LCD (LED)",165,"Available",5,74.5175675,"75"
152182,"LG","86UR80006LA","Indonesia,South Korea",217.425,"LCD (LED)",250,"Available",4,85.6002225,"85"
152183,"LG","86UR81006LA","Indonesia,South Korea",217.425,"LCD (LED)",250,"Available",4,85.6002225,"85"
152240,"SONY","XR-85X95L","Micronesia",214.783,"LCD (LED)",280.7,"Available",3.5,84.5600671,"85"
152243,"SONY","XR-65X95L","Malaysia",163.878,"LCD (LED)",214.8,"Available",2.5,64.51876859999999,"65"
152244,"SONY","XR-75X95L","Malaysia",189.306,"LCD (LED)",242.5,"Available",3,74.5297722,"75"
152283,"SAMSUNG ELECTRONICS","QA55S90CAW","Vietnam",138.783,"LCD (LED)",113,"Available",4,54.63886709999999,"55"
152283,"SAMSUNG ELECTRONICS","QA55S90CAS","Vietnam",138.783,"LCD (LED)",113,"Available",4,54.63886709999999,"55"
152283,"SAMSUNG ELECTRONICS","QA55S90CA*","Vietnam",138.783,"LCD (LED)",113,"Available",4,54.63886709999999,"55"
152284,"SONY","KD-43X77L","Vietnam",107.95,"LCD (LED)",77.5,"Available",3.5,42.499915,"40"
152286,"SONY","KD-50X77L","Vietnam",125.725,"LCD (LED)",93.8,"Available",4,49.4979325,"50"
152287,"SAMSUNG ELECTRONICS","QA65S90CAW","Vietnam",163.897,"LCD (LED)",154,"Available",4,64.5262489,"65"
152287,"SAMSUNG ELECTRONICS","QA65S90CAS","Vietnam",163.897,"LCD (LED)",154,"Available",4,64.5262489,"65"
152287,"SAMSUNG ELECTRONICS","QA65S90CA*","Vietnam",163.897,"LCD (LED)",154,"Available",4,64.5262489,"65"
152296,"FFALCON","FF32RS52","China",79.967,"LCD (LED)",24.1,"Available",6,31.4830079,"30"
152314,"SONY","XR-85X90L","Malaysia",214.783,"LCD (LED)",201.6,"Available",5,84.5600671,"85"
152382,"LG","OLED42C34LA","Indonesia,South Korea",105.52,"OLED",63,"Available",4.5,41.543223999999995,"40"
152427,"BAUHN","ATV55UHDT-0723","China",138.783,"LCD",68.5,"Available",6,54.63886709999999,"55"
152453,"ENGLAON","LED32M80","Australia",86.176,"LCD (LED)",47.2,"Available",4.5,33.9274912,"35"
152453,"ENGLAON","LED32X80","Australia",86.176,"LCD (LED)",47.2,"Available",4.5,33.9274912,"35"
152453,"ENGLAON","32in Smart TV","Australia",86.176,"LCD (LED)",47.2,"Available",4.5,33.9274912,"35"
152455,"ENGLAON","LED27M80","Australia",77.186,"LCD (LED)",42.76,"Available",4,30.3881282,"30"
152455,"ENGLAON","LED27X80","Australia",77.186,"LCD (LED)",42.76,"Available",4,30.3881282,"30"
152455,"ENGLAON","27in Smart TV","Australia",77.186,"LCD (LED)",42.76,"Available",4,30.3881282,"30"
152462,"Panasonic","TH-42MZ980Z","Malaysia",105.52,"OLED",60,"Available",4.5,41.543223999999995,"40"
152463,"Panasonic","TH-48MZ980Z","Malaysia",120.703,"OLED",78,"Available",4.5,47.5207711,"50"
152464,"Panasonic","TH-55MZ980Z","Malaysia",138.818,"OLED",99,"Available",4.5,54.652646600000004,"55"
152465,"Panasonic","TH-65MZ980Z","Malaysia",163.853,"OLED",124,"Available",5,64.5089261,"65"
152466,"Panasonic","TH-55MZ1500Z","Malaysia",138.818,"OLED",98,"Available",4.5,54.652646600000004,"55"
152467,"Panasonic","TH-65MZ1500Z","Malaysia",163.853,"OLED",124,"Available",5,64.5089261,"65"
152472,"SAMSUNG ELECTRONICS","UA85CU8000W","Vietnam",214.783,"LCD (LED)",198,"Available",5,84.5600671,"85"
152472,"SAMSUNG ELECTRONICS","UA85CU8000S","Vietnam",214.783,"LCD (LED)",198,"Available",5,84.5600671,"85"
